Formalisasi,Stopword Removal
"['tidak', 'di', 'rekomendasikan', 'lagi', 'untuk', 'xl', 'karena', 'makin', 'kesini', 'makin', 'buruk', 'gak', 'suka', 'pokoknyaa', 'gak', 'akan', 'lagi', 'pakai', 'xl']","['tidak', 'rekomendasikan', 'xl', 'kesini', 'buruk', 'gak', 'suka', 'pokoknyaa', 'gak', 'pakai', 'xl']"
"['sinyal', 'benerin', 'bos', 'setiap', 'ujan', 'saja', 'jelek', 'nh', 'sinyal', 'padahal', 'di', 'jakarta', 'barat', 'paket', 'saja', 'di', 'mahal', 'kualitas', 'sama', 'kaya', 'yang', 'murah']","['sinyal', 'benerin', 'bos', 'ujan', 'jelek', 'nh', 'sinyal', 'jakarta', 'barat', 'paket', 'mahal', 'kualitas', 'kaya', 'murah']"
"['kenapa', 'saya', 'melakukan', 'pembelian', 'paket', 'yang', 'sama', 'tetapi', 'jumlah', 'kuota', 'tidak', 'bertambah', 'bahkan', 'tergantikan', 'oleh', 'yang', 'baru']","['pembelian', 'paket', 'kuota', 'tidak', 'bertambah', 'tergantikan']"
"['sangat', 'membantu', 'dan', 'paket', 'nya', 'murah', 'meriah', 'pas', 'di', 'kantong']","['membantu', 'paket', 'nya', 'murah', 'meriah', 'pas', 'kantong']"
"['isinya', '%', 'komentar', 'negatif', 'semua', 'dan', 'semua', 'dijawab', 'silahkan', 'hubungi', 'maya', 'myxl', 'dan lain lain', 'jawabannya', 'sama', 'semua', 'mohon', 'maaf', 'dan', 'silahkan', 'hubungi', 'konsumen', 'service', 'jadi', 'ragu', 'mau', 'lanjut']","['isinya', '%', 'komentar', 'negatif', 'silahkan', 'hubungi', 'maya', 'myxl', 'dan lain lain', 'jawabannya', 'mohon', 'maaf', 'silahkan', 'hubungi', 'konsumen', 'service', 'ragu']"
"['aplikasi', 'ini', 'juga', 'bisa', 'digunakan', 'sebagai', 'bahan', 'dasar', 'pembuatan', 'situs', 'toko', 'online', 'seperti', 'pulsa', '&', 'paket']","['aplikasi', 'bahan', 'dasar', 'pembuatan', 'situs', 'toko', 'online', 'pulsa', '&', 'paket']"
"['coba', 'perbaiki', 'masa', 'gk', 'bisa', 'ambil', 'hadiah', 'nanti', 'saya', 'kasih', 'bintang', 'untuk', 'sekarang', 'dulu']","['coba', 'perbaiki', 'gk', 'ambil', 'hadiah', 'kasih', 'bintang']"
"['mulai', 'kumat', 'tidak', 'stabil', 'untuk', 'daerah', 'pelosok', 'masih', 'belum', 'ada', 'jaringan', 'yang', 'bagus']","['kumat', 'tidak', 'stabil', 'daerah', 'pelosok', 'jaringan', 'bagus']"
"['jaringannya', 'hancur', 'banget', 'terutama', 'jaringan', 'internet', 'apalagi', 'untuk', 'daerah', 'pedesaan', 'padahal', 'daerah', 'pedesaan', 'rata', 'pakai', 'xl', 'tapi', 'jaringannya', 'tidak', 'pernah', 'di', 'perhatikan', 'tower', 'dekat', 'tapi', 'jaringan', 'buruk']","['jaringannya', 'hancur', 'banget', 'jaringan', 'internet', 'daerah', 'pedesaan', 'daerah', 'pedesaan', 'pakai', 'xl', 'jaringannya', 'tidak', 'perhatikan', 'tower', 'jaringan', 'buruk']"
"['tolong', 'promo', 'kuota', 'lebih', 'di', 'banyak', 'kalau', 'terlalu', 'mahal', 'bisa', 'ganti', 'perdana', 'lain', 'terima kasih']","['tolong', 'promo', 'kuota', 'mahal', 'ganti', 'perdana', 'terima kasih']"
"['lebih', 'gampang', 'milih', 'paketnya', 'keterangannya', 'juga', 'jelas', 'banget', 'mantap', 'deh']","['gampang', 'milih', 'paketnya', 'keterangannya', 'banget', 'mantap', 'deh']"
"['my', 'xl', 'masih', 'belum', 'bisa', 'digunakan', 'sudah', 'beberapa', 'kali', 'bilang', 'ke', 'maya', 'bilangnya', 'suruh', 'di', 'copot', 'lalu', 'coba', 'unduh', 'lagi', 'hapus', 'data', 'sudah', 'di', 'melakukan', 'semua', 'bahkan', 'sampai', 'beberapa', 'kali', 'masih', 'tetap', 'gak', 'bisa', 'padahal', 'saya', 'pengguna', 'lama', 'karena', 'saya', 'ganti', 'seluler', 'saya', 'unduh', 'di', 'seluler', 'baru', 'malahan', 'tidak', 'bisa', 'dan', 'gak', 'bantu', 'juga', 'si', 'maya', 'terpaksa', 'ganti', 'kartu', 'kecewa', 'aku']","['my', 'xl', 'kali', 'bilang', 'maya', 'bilangnya', 'suruh', 'copot', 'coba', 'unduh', 'hapus', 'data', 'kali', 'gak', 'pengguna', 'ganti', 'seluler', 'unduh', 'seluler', 'tidak', 'gak', 'bantu', 'si', 'maya', 'terpaksa', 'ganti', 'kartu', 'kecewa']"
"['bagus', 'eh', 'tapi', 'bohong']","['bagus', 'eh', 'bohong']"
"['dari', 'dulu', 'sejak', 'sekolah', 'sama', 'selalu', 'pakai', 'xl', 'tolong', 'iya', 'kak', 'jaringan', 'xl', 'di', 'stabilkan', 'lagi', 'sukses', 'selalu', 'xl', 'axiata']","['sekolah', 'pakai', 'xl', 'tolong', 'iya', 'kak', 'jaringan', 'xl', 'stabilkan', 'sukses', 'xl', 'axiata']"
"['saya', 'mau', 'melakukan', 'pembelian', 'paket', 'tapi', 'kenapa', 'tidak', 'bisa', 'heran', 'terjadi', 'kesalahan', 'maksudnya', 'apa', 'makin', 'lama', 'xl', 'makin', 'ngk', 'jelas']","['pembelian', 'paket', 'tidak', 'heran', 'kesalahan', 'maksudnya', 'xl', 'ngk']"
"['kartu', 'xl', 'makin', 'lama', 'sinyal', 'nya', 'makin', 'kayak', 'sampah', 'mau', 'di', 'mana', 'saja', 'di', 'bawa', 'pasti', 'sama', 'saja', 'sinyal', 'nya', 'hilang', 'hilang', 'kecewa', 'berat', 'pakai', 'kartu', 'ini', 'maaf', 'buat', 'provider', 'xl', 'saya', 'gak', 'mau', 'pakai', 'kartu', 'anda', 'lagi', 'merasa', 'rugi']","['kartu', 'xl', 'sinyal', 'nya', 'kayak', 'sampah', 'bawa', 'sinyal', 'nya', 'hilang', 'hilang', 'kecewa', 'berat', 'pakai', 'kartu', 'maaf', 'provider', 'xl', 'gak', 'pakai', 'kartu', 'rugi']"
