Stopword Removal,Stemming
"['gak', 'perbaiki', 'jaringan', 'nya', 'parah', 'niih', 'jaringan', 'kuota', 'ga', 'lambat', 'jaringan']",gak baik jaring nya parah niih jaring kuota ga lambat jaring
"['tidak', 'diskon', 'kuota', 'xl', 'teman', 'rutin', 'beli', 'paket']",tidak diskon kuota xl teman rutin beli paket
"['semenjak', 'ganti', 'pascabayar', 'lelet', 'yaa', 'nya', 'lancar', 'lancar']",semenjak ganti pascabayar lelet yaa nya lancar lancar
"['ampun', 'deh', 'kali', 'isi', 'paket', 'akrab', 'udh', 'habis', 'har', 'iya', 'perasaan', 'cepat', 'banget', 'habis', 'kuota', 'aplikasi', 'blnnya', '&', 'bilang', 'normal', 'sedih', 'deh', 'tanggal', 'udh', 'isi', 'pendorong', 'seborosnya', 'pemakaian', 'aplikasi', 'pendorong', 'mikir', 'terusan', 'gini']",ampun deh kali isi paket akrab udh habis har iya asa cepat banget habis kuota aplikasi blnnya  bilang normal sedih deh tanggal udh isi dorong boros pakai aplikasi dorong mikir terus gin
"['membantu', 'terpenting', 'tingkatkan', 'perfom', 'nya', 'bilang', 'terima kasih']",bantu penting tingkat perfom nya bilang terima kasih
"['gak', 'aktif', 'data', 'pulsaku', 'ribu', 'habis', 'pakai', 'wifi', 'loh']",gak aktif data pulsa ribu habis pakai wifi loh
"['tolong', 'diperbaiki', 'jaringan', 'aplikasinya', 'kadang', 'suka', 'error', 'buka', 'aplikasi']",tolong baik jaring aplikasi kadang suka error buka aplikasi
"['pakai', 'xl', 'sinyal', 'aman', 'aman', 'tidak', 'lag', 'lelet', 'enakan', 'xl', 'si', 'telekomunikasi', 'lokasi', 'kampung', 'sinyal', 'joss', 'mantap']",pakai xl sinyal aman aman tidak lag lelet enak xl si telekomunikasi lokasi kampung sinyal joss mantap
"['sinyal', 'bagus', 'gak', 'buka', 'sosial media', 'tower', 'loh', 'buka', 'my', 'xl', 'gak']",sinyal bagus gak buka sosial media tower loh buka my xl gak
"['sinyal', 'lemah', 'internet', 'lambat', 'paket', 'kombo', 'vip', 'kombo', 'reguler', 'lelet', 'tolong', 'tingkatkan', 'jaringan', 'internet', 'nya', 'serasa', 'edge', 'parah', 'deh', 'terbaru', 'diluar', 'ruangan', 'bagus', 'didalam', 'ruangan', 'dirumah', 'kantor', 'lelet', 'banget', 'kecepatan', 'internet', 'nya', 'tolong', 'perkuat', 'jangkauan', 'sinyal', 'internet', 'nya', 'terima kasih', 'terbaru', 'parah', 'sinyal', 'internet', 'nya', 'lelet', 'musim', 'hujan', 'sinyal', 'hhrghh', 'bikin', 'emosi']",sinyal lemah internet lambat paket kombo vip kombo reguler lelet tolong tingkat jaring internet nya serasa edge parah deh baru luar ruang bagus dalam ruang rumah kantor lelet banget cepat internet nya tolong kuat jangkau sinyal internet nya terima kasih baru parah sinyal internet nya lelet musim hujan sinyal hhrghh bikin emosi
"['reload', 'detik', 'harga', 'paketnya', 'suka', 'berubah', 'berubah']",reload detik harga paket suka ubah ubah
"['provider', 'kerajaan', 'nya', 'molor', 'jaringan', 'busuk', 'konsumen', 'tidak', 'prioritaskan', 'tidak', 'makan', 'bekerjalah', 'jangan', 'cuan']",provider raja nya molor jaring busuk konsumen tidak prioritas tidak makan kerja jangan cuan
"['xl', 'si', 'beli', 'paket', 'kombo', 'mini', 'error', 'melulu', 'tidak', 'banget', 'sisa', 'paketan', 'isi', 'kuota', 'nya', 'najis']",xl si beli paket kombo mini error melulu tidak banget sisa paket isi kuota nya najis
"['sinyal', 'jelek', 'layanan', 'aplikasi', 'xl', 'tidak', 'puas', 'pemberitahuan', 'kuota', 'habis', 'menguras', 'pulsa', 'notifikasi']",sinyal jelek layan aplikasi xl tidak puas pemberitahuan kuota habis uras pulsa notifikasi
"['pakai', 'xl', 'pakai', 'aplikasi', 'my', 'xl', 'tahunan', 'sabar', 'sabar', 'aplikasi', 'myxl', 'pas', 'daftar', 'paket', 'sabar', 'sabar', 'tolong', 'diperbaiki', 'biar', 'tidak', 'setia', 'pakai', 'xl', 'mohon', 'diperbaiki']",pakai xl pakai aplikasi my xl tahun sabar sabar aplikasi myxl pas daftar paket sabar sabar tolong baik biar tidak setia pakai xl mohon baik
"['serba', 'online', 'mengisi', 'kuota', 'tidak bisa', 'sih', 'status', 'mas', 'perbaikan', 'nya']",serba online isi kuota tidak bisa sih status mas baik nya
"['pembaruan', 'jam', 'kak', 'rabu', 'februari', 'jam', 'jam']",baru jam kak rabu februari jam jam
"['kemarin', 'promo', 'ribu', 'lumayan', 'sih', 'sebulan', 'ga', 'habis', 'kebuang', 'saran', 'kuota', 'aktif', 'kuota', 'kak', 'bikin', 'menu', 'aktif', 'kuota', 'biar', 'ga', 'buang', 'kuota', 'kemarin', 'promo', 'ribu', 'alhamdulillah', 'promo', 'ga', 'mengecewakan']",kemarin promo ribu lumayan sih bulan ga habis buang saran kuota aktif kuota kak bikin menu aktif kuota biar ga buang kuota kemarin promo ribu alhamdulillah promo ga kecewa
"['mohon', 'maaf', 'pas', 'masukkan', 'kode', 'voucer', 'notifikasi', 'masuk', 'teruskan', 'memindai', 'voucer', 'sya', 'unduh', 'aplikasi', 'myxl', 'sya', 'memindai', 'tidak', 'sya', 'rugi', 'voucer', 'beli', 'tidak', 'login', 'myxl', 'biar', 'hostpot', 'wifi', 'keterangan', 'cek', 'koneksi', 'internet', 'maksudnya', 'bos', 'beli', 'kuota', 'mahal', 'tidak', 'kedapannya', 'perbaiki']",mohon maaf pas masuk kode voucer notifikasi masuk terus pindai voucer sya unduh aplikasi myxl sya pindai tidak sya rugi voucer beli tidak login myxl biar hostpot wifi terang cek koneksi internet maksud bos beli kuota mahal tidak kedap baik
"['sih', 'buka', 'nya', 'error', 'ganti', 'ganti', 'jaringan', 'kaya', 'aplikasi', 'ukuran', 'lelet']",sih buka nya error ganti ganti jaring kaya aplikasi ukur lelet
"['buka', 'youtube', 'wa', 'lancar', 'masuk', 'myxl', 'tidak', 'koneksi', 'xl', 'sehat']",buka youtube wa lancar masuk myxl tidak koneksi xl sehat
"['beli', 'paket', 'masuk', 'my', 'xl', 'susahnya', 'ampun', 'pakai', 'versi', 'maaf', 'bandingkan', 'my', 'telkomsel', 'indosat', 'banget', 'aplikasi', 'on', 'point', 'ga', 'kaya', 'my', 'xl', 'kali', 'kesulitan', 'login', 'tolong', 'memperbaiki', 'mohon', 'maaf', 'tidak', 'apapun', 'kesalkan', 'pengguna', 'xl', 'daerah', 'enak', 'xl', 'doang']",beli paket masuk my xl susah ampun pakai versi maaf banding my telkomsel indosat banget aplikasi on point ga kaya my xl kali sulit login tolong baik mohon maaf tidak apa kesal guna xl daerah enak xl doang
"['gak', 'masuk', 'koneksi', 'internet', 'gak', 'sambung', 'sambung', 'data', 'iya', 'masuk', 'aplikasinya', 'tolong', 'perbaiki', 'terima kasih']",gak masuk koneksi internet gak sambung sambung data iya masuk aplikasi tolong baik terima kasih
"['sinyal', 'lelet', 'aplikasi', 'sih', 'pas', 'dipake', 'gagal', 'memuat', 'data', 'astaga']",sinyal lelet aplikasi sih pas dipake gagal muat data astaga
"['terima', 'kasih', 'myxl', 'mempermudah', 'cek', 'kuota', 'pulsa', 'gratisan', 'sih']",terima kasih myxl mudah cek kuota pulsa gratis sih
"['paketnya', 'ekonomis', 'sesuai', 'dimana', 'tinggal', 'jaringannya', 'oke']",paket ekonomis sesuai mana tinggal jaring oke
"['buruk', 'banget', 'xl', 'telepon', 'bicara', 'uda', 'mati', 'internet', 'bgm', 'bayar', 'bulanan', 'hasil', 'nya', 'buruk']",buruk banget xl telepon bicara uda mati internet bgm bayar bulan hasil nya buruk
"['woyy', 'aplikasi', 'si', 'aplikasi', 'log', 'masuk', 'error', 'gk', 'masuk', 'pelayanannya', 'tolong', 'perbaiki', 'kesalahannya', 'tidak', 'perbaiki', 'gk', 'tampilkan', 'playstore', 'hapus', 'aplikasi']",woyy aplikasi si aplikasi log masuk error gk masuk layan tolong baik salah tidak baik gk tampil playstore hapus aplikasi
"['lanjutkan', 'jangan', 'pengurangan', 'kuota', 'swadaya', 'harga', 'murah']",lanjut jangan kurang kuota swadaya harga murah
"['bangun', 'tower', 'pelosok', 'negeri', 'biar', 'komunikasi', 'lancar', 'pertahankan', 'harga', 'layanan']",bangun tower pelosok negeri biar komunikasi lancar tahan harga layan
"['aplikasinya', 'puas', 'ambil', 'gratisan', 'nya', 'pulsa', 'kepotong', 'habis', 'my', 'xl', 'the', 'terbaik', 'deh', 'pokoknya']",aplikasi puas ambil gratis nya pulsa potong habis my xl the baik deh pokok
"['aktif', 'kartunya', 'tingkatkan', 'terima', 'kasih']",aktif kartu tingkat terima kasih
"['aplikasi', 'bagus', 'kuota', 'harga', 'murah', 'membeli', 'kelas', 'smp', 'cari', 'uang', 'kasih', 'myxl', 'pelayanan', 'terbaik', 'penggunanya']",aplikasi bagus kuota harga murah beli kelas smp cari uang kasih myxl layan baik guna
"['mantap', 'xl', 'pertahakan', 'performa', 'bonus', 'pengguna', 'xl', 'betah', 'beralih']",mantap xl tahak performa bonus guna xl betah alih
"['jaringannya', 'butut', 'lancar', 'pas', 'jam', 'malam', 'jam', 'pagi', 'doang', 'pindah', 'gmn', 'hmm']",jaring butut lancar pas jam malam jam pagi doang pindah gmn hmm
"['jangan', 'kemarin', 'minggu', 'terbaru', 'isi', 'ulang', 'data', 'terbaru', 'keseringan', 'terbaru', 'malas', 'membuka', 'aplikasi']",jangan kemarin minggu baru isi ulang data baru sering baru malas buka aplikasi
"['xl', 'jaringan', 'nya', 'lelet', 'gitu', 'kuota', 'nya', 'suka', 'loading', 'iya']",xl jaring nya lelet gitu kuota nya suka loading iya
"['paket', 'gak', 'dipakai', 'makan', 'hati', 'kesal', 'buang', 'uang', 'lebih baik', 'dipakai', 'sedekah', 'gangguan', 'lambat', 'lelet', 'semoga', 'jangan', 'korban', 'php', 'xl', 'iklan', 'promo', 'banyak bicara']",paket gak pakai makan hati kesal buang uang lebih baik pakai sedekah ganggu lambat lelet moga jangan korban php xl iklan promo banyak bicara
"['xl', 'masukkan', 'digit', 'angka', 'aplikasi', 'isi', 'ulang', 'tidak', 'masuk', 'sesal', 'internet', 'kayak', 'gini']",xl masuk digit angka aplikasi isi ulang tidak masuk sesal internet kayak gin
